,City,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,tiksi,RU,1581468920,75,86,71.69,128.87,242.9,1.66
1,tuatapere,NZ,1581468939,100,81,-46.13,167.68,290.37,4.02
2,hilo,US,1581468928,90,64,19.73,-155.09,297.15,5.1
3,dwarka,IN,1581469491,0,54,22.24,68.97,296.16,6.71
4,buraydah,SA,1581468984,0,51,26.33,43.98,275.15,4.1
5,yellowknife,CA,1581468876,5,67,62.46,-114.35,241.48,2.1
6,sola,VU,1581468954,75,75,-13.88,167.55,305.15,5.8
7,dubbo,AU,1581468976,75,69,-32.25,148.62,299.15,4.6
8,bredasdorp,ZA,1581468920,0,82,-34.53,20.04,293.15,4.6
9,ushuaia,AR,1581468903,75,66,-54.8,-68.3,286.15,1.6
10,bluff,NZ,1581468942,100,81,-46.6,168.33,290.37,4.02
11,mar del plata,AR,1581468941,0,77,-38.0,-57.56,294.26,4.1
12,east london,ZA,1581468851,50,80,-33.02,27.91,295.21,5.66
13,groa,NO,1581469492,90,90,62.65,8.72,274.15,5.7
14,busselton,AU,1581468917,23,35,-33.65,115.33,299.82,3.98
15,ust-nera,RU,1581468933,100,98,64.57,143.2,244.93,0.72
16,hermanus,ZA,1581468844,0,87,-34.42,19.23,294.26,4.02
17,morehead,US,1581469493,1,75,37.27,-87.18,278.15,1.35
18,hithadhoo,MV,1581468919,83,76,-0.6,73.08,301.45,7.91
19,half moon bay,US,1581468925,1,44,37.46,-122.43,297.59,4.1
20,norman wells,CA,1581468950,75,76,65.28,-126.83,251.15,0.08
21,rikitea,PF,1581468919,51,78,-23.12,-134.97,299.5,8.89
22,tay ninh,VN,1581469493,0,75,11.3,106.1,297.44,1.01
23,araouane,ML,1581469493,86,45,18.9,-3.53,295.17,7.28
24,taltal,CL,1581469494,1,84,-25.4,-70.48,289.68,1.26
25,vaini,TO,1581468924,75,83,-21.2,-175.2,302.15,3.6
26,ribeira grande,PT,1581468943,68,89,38.52,-28.7,287.66,3.81
27,nanortalik,GL,1581468949,100,82,60.14,-45.24,264.45,6.24
28,faanui,PF,1581468948,1,81,-16.48,-151.75,300.62,6.99
29,mataura,NZ,1581468918,100,81,-46.19,168.86,290.37,4.02
30,acapulco,MX,1581469206,5,69,16.86,-99.89,301.15,3.6
31,geraldton,AU,1581468951,0,51,-28.77,114.6,302.15,5.7
32,bambous virieux,MU,1581468903,75,88,-20.34,57.76,299.82,6.2
33,alofi,NU,1581469495,75,74,-19.06,-169.92,303.15,2.6
34,dikson,RU,1581468931,100,93,73.51,80.55,255.66,15.16
35,punta arenas,CL,1581468920,90,82,-53.15,-70.92,286.15,3.1
36,pacific grove,US,1581469495,1,28,36.62,-121.92,294.15,4.11
37,guanare,VE,1581469495,0,39,9.04,-69.74,300.73,0.65
38,petrozavodsk,RU,1581469495,82,89,61.78,34.35,275.15,3.0
39,torbay,CA,1581468932,75,86,47.67,-52.73,270.93,1.5
40,aksha,RU,1581469495,100,79,50.28,113.29,262.76,4.02
41,maraba,BR,1581468975,75,94,-5.37,-49.12,300.15,2.1
42,atuona,PF,1581468931,0,76,-9.8,-139.03,300.61,6.16
43,namibe,AO,1581468934,1,81,-15.2,12.15,296.6,4.4
44,puerto ayora,EC,1581468935,20,62,-0.74,-90.35,302.15,7.7
45,jamestown,US,1581468930,90,69,42.1,-79.24,274.26,6.7
46,gat,IL,1581468921,75,87,31.61,34.76,285.37,5.7
47,castro,BR,1581468779,17,98,-24.79,-50.01,289.02,3.67
48,tasiilaq,GL,1581468922,100,79,65.61,-37.64,269.15,6.2
49,arlit,NE,1581469496,100,13,18.74,7.39,291.7,4.67
50,barrow,US,1581468921,1,74,71.29,-156.79,242.15,3.1
51,victoria,HK,1581468875,40,93,22.29,114.16,292.04,3.6
52,fortuna,US,1581469497,1,66,40.6,-124.16,289.15,8.7
53,korla,CN,1581469497,50,78,41.76,86.15,270.37,0.85
54,huarmey,PE,1581468982,69,76,-10.07,-78.15,295.18,2.79
55,port lincoln,AU,1581468918,97,71,-34.73,135.87,291.38,6.5
56,tuktoyaktuk,CA,1581468920,20,74,69.45,-133.04,241.15,4.6
57,arraial do cabo,BR,1581468918,100,80,-22.97,-42.03,297.41,4.49
58,new norfolk,AU,1581468924,75,77,-42.78,147.06,292.04,6.7
